freq,currency,nace_r2,geo\TIME_PERIOD	2018 	2019 	2020 	2021 	2022 
A,MIO_EUR,TOTAL,BG323	1150.21 	1230.59 	1227.95 	1422.11 	: 
A,MIO_EUR,TOTAL,BG324	487.56 	515.83 	519.91 	629.73 	: 
A,MIO_EUR,TOTAL,BG325	343.29 	370.52 	391.44 	472.3 	: 
A,MIO_EUR,TOTAL,BG33	5171.7 	5473.13 	5394.02 	6230.85 	7575.45 
A,MIO_EUR,TOTAL,BG331	3240.57 	3410.33 	3273.01 	3769.33 	: 
A,MIO_EUR,TOTAL,BG332	713.28 	767.6 	790.97 	935.13 	: 
A,MIO_EUR,TOTAL,BG333	720.92 	778.26 	794.66 	914.82 	: 
A,MIO_EUR,TOTAL,BG334	496.94 	516.94 	535.38 	611.58 	: 
A,MIO_EUR,TOTAL,BG34	5885.78 	5920.5 	5542.51 	7181.99 	10065.53 
A,MIO_EUR,TOTAL,BG341	2295.93 	2442.75 	2066.9 	2894.77 	: 
A,MIO_EUR,TOTAL,BG342	632.99 	668.57 	682.05 	846.54 	: 
A,MIO_EUR,TOTAL,BG343	515.6 	531.5 	546.16 	651.39 	: 
A,MIO_EUR,TOTAL,BG344	2441.26 	2277.68 	2247.39 	2789.29 	: 
A,MIO_EUR,TOTAL,BG4	30483.99 	34353.06 	34855.04 	39702.09 	48028.2 
A,MIO_EUR,TOTAL,BG41	23581.58 	26828.05 	27030.82 	31379.86 	37297.74 
A,MIO_EUR,TOTAL,BG411	19662.42 	22719.38 	22750.65 	26469.17 	: 
A,MIO_EUR,TOTAL,BG412	1603.52 	1721.51 	1816.32 	2033.24 	: 
A,MIO_EUR,TOTAL,BG413	1325.43 	1393.11 	1448.42 	1692.86 	: 
A,MIO_EUR,TOTAL,BG414	494.74 	498.34 	501.15 	591.08 	: 
A,MIO_EUR,TOTAL,BG415	495.46 	495.7 	514.28 	593.5 	: 
A,MIO_EUR,TOTAL,BG42	6902.41 	7525.01 	7824.22 	8322.23 	10730.46 
A,MIO_EUR,TOTAL,BG421	3905.9 	4285.57 	4352.23 	4634.44 	: 
A,MIO_EUR,TOTAL,BG422	871.86 	909.24 	913.5 	974.53 	: 
A,MIO_EUR,TOTAL,BG423	1051.34 	1124.69 	1229.83 	1299.53 	: 
A,MIO_EUR,TOTAL,BG424	500.96 	541.93 	545.21 	567.36 	: 
A,MIO_EUR,TOTAL,BG425	572.35 	663.58 	783.46 	846.36 	: 
A,MIO_EUR,TOTAL,CH0	596681.36 	626597.19 	633067.13 	668240.02 	: 
A,MIO_EUR,TOTAL,CH01	110942.59 	116434.5 	116201.99 	125617.15 	: 
A,MIO_EUR,TOTAL,CH011	49314.35 	51349.46 	51454.87 	56686.48 	: 
A,MIO_EUR,TOTAL,CH012	16310.35 	17381.15 	17371.51 	18185.56 	: 
A,MIO_EUR,TOTAL,CH013	45317.89 	47703.88 	47375.6 	50745.11 	: 
A,MIO_EUR,TOTAL,CH02	117494.25 	124386.04 	125315.91 	132859.13 	: 
A,MIO_EUR,TOTAL,CH021	67972.29 	71951.52 	73304.01 	76387.52 	: 
A,MIO_EUR,TOTAL,CH022	16121.52 	17103.86 	17278.31 	18320.94 	: 
A,MIO_EUR,TOTAL,CH023	15520.62 	16344.51 	16543.76 	17500.07 	: 
