freq,currency,nace_r2,geo\TIME_PERIOD	2018 	2019 	2020 	2021 	2022 
A,MIO_EUR,TOTAL,ES613	12852.4 	12807.8 	11869 	13223.8 p	: 
A,MIO_EUR,TOTAL,ES614	15088.3 	15766.4 	14419.4 	15507.7 p	: 
A,MIO_EUR,TOTAL,ES615	9528.8 	9563 	8434.6 	9737.8 p	: 
A,MIO_EUR,TOTAL,ES616	10472.5 	10131.2 	9741.5 	10634.8 p	: 
A,MIO_EUR,TOTAL,ES617	27936.3 	29206.2 	25695.8 	27844.3 p	: 
A,MIO_EUR,TOTAL,ES618	35553.4 	36766.4 	33789 	36784.6 p	: 
A,MIO_EUR,TOTAL,ES62	28138 	29312 	27170 	29602 p	32598.1 p
A,MIO_EUR,TOTAL,ES620	28138.4 	29312 	27169.8 	29602.4 p	: 
A,MIO_EUR,TOTAL,ES63	1557 	1610 	1510 	1597 p	1736.3 p
A,MIO_EUR,TOTAL,ES630	1556.9 	1609.8 	1510.3 	1597 p	: 
A,MIO_EUR,TOTAL,ES64	1428 	1474 	1382 	1463 p	1599.2 p
A,MIO_EUR,TOTAL,ES640	1427.9 	1473.9 	1381.5 	1462.5 p	: 
A,MIO_EUR,TOTAL,ES7	41473 	42792.3 	35249.6 	38761.8 p	44624.7 p
A,MIO_EUR,TOTAL,ES70	41473 	42792.3 	35249.6 	38761.8 p	44624.7 p
A,MIO_EUR,TOTAL,ES703	173.1 	185.9 	165 	175.4 p	: 
A,MIO_EUR,TOTAL,ES704	2318.9 	2349 	1735.1 	2077.4 p	: 
A,MIO_EUR,TOTAL,ES705	15810.5 	16281.6 	13740.4 	14984 p	: 
A,MIO_EUR,TOTAL,ES706	364 	372.5 	306 	344.2 p	: 
A,MIO_EUR,TOTAL,ES707	1423.2 	1487.2 	1323.1 	1385.7 p	: 
A,MIO_EUR,TOTAL,ES708	3232.3 	3330.3 	2493.9 	2894.2 p	: 
A,MIO_EUR,TOTAL,ES709	18151 	18785.8 	15486.1 	16900.9 p	: 
A,MIO_EUR,TOTAL,ESZ	988 	1024 	1044 	1067 p	1109.7 p
A,MIO_EUR,TOTAL,ESZZ	988 	1024 	1044 	1067 p	1109.7 p
A,MIO_EUR,TOTAL,ESZZZ	987.8 	1023.9 	1044 	1067 p	1110 p
A,MIO_EUR,TOTAL,EU27_2020	12095442.7 	12534899.7 	12105313.8 	13099521.6 	: 
A,MIO_EUR,TOTAL,FI1	200121.41 	206032.86 	205044.76 	216224.57 	232257.09 
A,MIO_EUR,TOTAL,FI19	44508 	45502.21 	45589.14 	48524.9 	51754.89 
A,MIO_EUR,TOTAL,FI193	8502.49 	8614.52 	8458.29 	9036.43 	: 
A,MIO_EUR,TOTAL,FI194	5404.65 	5649.98 	5675.48 	5987.35 	: 
A,MIO_EUR,TOTAL,FI195	6267 	6387.34 	6272.58 	6922.83 	: 
A,MIO_EUR,TOTAL,FI196	7036.1 	6941.46 	6993.61 	7401.42 	: 
A,MIO_EUR,TOTAL,FI197	17297.76 	17908.91 	18189.18 	19176.87 	: 
A,MIO_EUR,TOTAL,FI1B	79003.39 	82497.39 	81573.86 	85596.44 	92124.38 
A,MIO_EUR,TOTAL,FI1B1	79003.39 	82497.39 	81573.86 	85596.44 	: 
A,MIO_EUR,TOTAL,FI1C	37467.12 	38240.35 	37947.31 	39953.21 	42361.18 
A,MIO_EUR,TOTAL,FI1C1	16378.69 	16817.46 	16633.73 	17358.57 	: 
A,MIO_EUR,TOTAL,FI1C2	4969.48 	5174.83 	5302.37 	5667.29 	: 
A,MIO_EUR,TOTAL,FI1C3	5778.14 	5800.08 	5745.71 	6066.42 	: 
A,MIO_EUR,TOTAL,FI1C4	5947.88 	6113.11 	6110.56 	6264.53 	: 
A,MIO_EUR,TOTAL,FI1C5	4392.93 	4334.87 	4154.94 	4596.4 	: 
A,MIO_EUR,TOTAL,FI1D	39142.9 	39792.91 	39934.45 	42150.02 	46016.64 
A,MIO_EUR,TOTAL,FI1D1	4105.62 	4094.64 	4061.3 	4179.58 	: 
A,MIO_EUR,TOTAL,FI1D2	7613.32 	7760.69 	7682.77 	8158.29 	: 
A,MIO_EUR,TOTAL,FI1D3	4704.53 	4740.21 	4626.26 	4982.06 	: 
A,MIO_EUR,TOTAL,FI1D5	2260.34 	2256.09 	2282.71 	2300.95 	: 
A,MIO_EUR,TOTAL,FI1D7	6002.98 	5973.05 	5986.31 	6130.47 	: 
A,MIO_EUR,TOTAL,FI1D8	2097.04 	2124.75 	2176.39 	2237.84 	: 
A,MIO_EUR,TOTAL,FI1D9	12359.08 	12843.49 	13118.71 	14160.83 	: 
A,MIO_EUR,TOTAL,FI2	1123.91 	1175.98 	1040.72 	1165.76 	1313.18 
A,MIO_EUR,TOTAL,FI20	1123.91 	1175.98 	1040.72 	1165.76 	1313.18 
A,MIO_EUR,TOTAL,FI200	1123.91 	1175.98 	1040.72 	1165.76 	: 
A,MIO_EUR,TOTAL,FIZ	62.68 	82.16 	72.52 	75.67 	78.74 
A,MIO_EUR,TOTAL,FIZZ	62.68 	82.16 	72.52 	75.67 	78.74 
A,MIO_EUR,TOTAL,FIZZZ	62.68 	82.16 	72.52 	75.67 	: 
A,MIO_EUR,TOTAL,FR1	648041.45 	675148.13 	624981.11 	670773.22 	699658.43 
A,MIO_EUR,TOTAL,FR10	648041.45 	675148.13 	624981.11 	670773.22 	699658.43 
A,MIO_EUR,TOTAL,FR101	210783.01 	219513.26 	204484.52 	223333.54 	: 
A,MIO_EUR,TOTAL,FR102	37281.54 	39362.18 	35292.42 	37529.23 	: 
A,MIO_EUR,TOTAL,FR103	53057.69 	54357.37 	50680.16 	53022.24 	: 
A,MIO_EUR,TOTAL,FR104	47602 	49239.74 	48233.75 	50884.31 	: 
A,MIO_EUR,TOTAL,FR105	157271.39 	167371.58 	154421.34 	163595.14 	: 
A,MIO_EUR,TOTAL,FR106	58920.22 	60161.69 	52650.75 	58883.98 	: 
A,MIO_EUR,TOTAL,FR107	49268.8 	50292.54 	46960.99 	49478.5 	: 
A,MIO_EUR,TOTAL,FR108	33856.81 	34849.77 	32257.19 	34046.28 	: 
A,MIO_EUR,TOTAL,FRB	65861.46 	67371.79 	65076.55 	68856.7 	71510.81 
A,MIO_EUR,TOTAL,FRB0	65861.46 	67371.79 	65076.55 	68856.7 	71510.81 
A,MIO_EUR,TOTAL,FRB01	7182.96 	7328.38 	6936.93 	7367.73 	: 
A,MIO_EUR,TOTAL,FRB02	10080.93 	10380.93 	10185.14 	10674.92 	: 
A,MIO_EUR,TOTAL,FRB03	4808.87 	4913.57 	4667.31 	4928.35 	: 
A,MIO_EUR,TOTAL,FRB04	16540.98 	16909.38 	16274.06 	17340.57 	: 
A,MIO_EUR,TOTAL,FRB05	7694.82 	7882.78 	7620.53 	8127.08 	: 
A,MIO_EUR,TOTAL,FRB06	19552.91 	19956.75 	19392.59 	20418.05 	: 
A,MIO_EUR,TOTAL,FRC	69445.41 	70814.11 	68816.5 	72069.59 	78266.44 
A,MIO_EUR,TOTAL,FRC1	42058.2 	42527.64 	41348.93 	43637.74 	47180.94 
A,MIO_EUR,TOTAL,FRC11	16747.44 	16969.79 	16429.98 	17395.74 	: 
A,MIO_EUR,TOTAL,FRC12	4440.57 	4488.27 	4329.53 	4564.6 	: 
A,MIO_EUR,TOTAL,FRC13	13138.93 	13337.54 	13002.77 	13715.19 	: 
A,MIO_EUR,TOTAL,FRC14	7731.26 	7732.06 	7586.65 	7962.2 	: 
A,MIO_EUR,TOTAL,FRC2	27387.21 	28286.46 	27467.57 	28431.85 	31085.5 
A,MIO_EUR,TOTAL,FRC21	13978.13 	14314.48 	13644.06 	14138.92 	: 
A,MIO_EUR,TOTAL,FRC22	5939.63 	6114.08 	6074.48 	6264.17 	: 
A,MIO_EUR,TOTAL,FRC23	4299.48 	4471.3 	4443.43 	4655.4 	: 
A,MIO_EUR,TOTAL,FRC24	3169.98 	3386.6 	3305.6 	3373.36 	: 
A,MIO_EUR,TOTAL,FRD	84153.78 	85887.88 	82651.76 	89294.24 	95827.21 
A,MIO_EUR,TOTAL,FRD1	35497.67 	36399.54 	35319.9 	37696.35 	39751.78 
A,MIO_EUR,TOTAL,FRD11	18138.95 	18511.61 	17944.62 	18849.21 	: 
A,MIO_EUR,TOTAL,FRD12	11334.73 	11745.82 	11349.14 	12589.84 	: 
A,MIO_EUR,TOTAL,FRD13	6023.99 	6142.11 	6026.14 	6257.31 	: 
A,MIO_EUR,TOTAL,FRD2	48656.11 	49488.34 	47331.86 	51597.89 	56075.42 
A,MIO_EUR,TOTAL,FRD21	13112.95 	13418.32 	13039.38 	13465.93 	: 
A,MIO_EUR,TOTAL,FRD22	35543.16 	36070.01 	34292.48 	38131.96 	: 
A,MIO_EUR,TOTAL,FRE	147668.62 	150943.8 	146301.52 	154348.41 	165806.8 
A,MIO_EUR,TOTAL,FRE1	103322.03 	105481.1 	102571.45 	108267.97 	115704.31 
A,MIO_EUR,TOTAL,FRE11	72487.01 	73679.47 	71711.73 	76096 	: 
A,MIO_EUR,TOTAL,FRE12	30835.02 	31801.63 	30859.72 	32171.97 	: 
A,MIO_EUR,TOTAL,FRE2	44346.59 	45462.69 	43730.07 	46080.44 	50102.49 
A,MIO_EUR,TOTAL,FRE21	10788.62 	11079.03 	10781.58 	11331.74 	: 
A,MIO_EUR,TOTAL,FRE22	19515.96 	20037.88 	18983.03 	20175.35 	: 
A,MIO_EUR,TOTAL,FRE23	14042.01 	14345.78 	13965.47 	14573.35 	: 
A,MIO_EUR,TOTAL,FRF	143078.77 	145659.52 	139694.69 	147852.74 	159954.19 
A,MIO_EUR,TOTAL,FRF1	55108.81 	56396.35 	53967.71 	56987.98 	60564.58 
A,MIO_EUR,TOTAL,FRF11	35091.02 	36016.43 	34593.99 	36673.23 	: 
A,MIO_EUR,TOTAL,FRF12	20017.79 	20379.91 	19373.73 	20314.75 	: 
A,MIO_EUR,TOTAL,FRF2	34777.21 	35137 	33531.81 	35652.43 	40541.42 
A,MIO_EUR,TOTAL,FRF21	5620.64 	5738.39 	5478.51 	5840.24 	: 
A,MIO_EUR,TOTAL,FRF22	7512.55 	7536.3 	7256.55 	7696.74 	: 
A,MIO_EUR,TOTAL,FRF23	17667.57 	17830.76 	16984.33 	18047.93 	: 
A,MIO_EUR,TOTAL,FRF24	3976.45 	4031.54 	3812.42 	4067.52 	: 
A,MIO_EUR,TOTAL,FRF3	53192.75 	54126.18 	52195.17 	55212.33 	58848.2 
A,MIO_EUR,TOTAL,FRF31	17622.85 	18012.74 	17731.81 	18451.52 	: 
A,MIO_EUR,TOTAL,FRF32	3607.76 	3729.55 	3625.95 	3861.86 	: 
A,MIO_EUR,TOTAL,FRF33	23820.8 	24135.5 	22791.02 	24561.28 	: 
A,MIO_EUR,TOTAL,FRF34	8141.35 	8248.39 	8046.39 	8337.66 	: 
A,MIO_EUR,TOTAL,FRG	104374.57 	108286.67 	106729.41 	111973.74 	122520.1 
A,MIO_EUR,TOTAL,FRG0	104374.57 	108286.67 	106729.41 	111973.74 	122520.1 
A,MIO_EUR,TOTAL,FRG01	45528.74 	47659.87 	45810.67 	48547.98 	: 
A,MIO_EUR,TOTAL,FRG02	20138.21 	20899.69 	20680.4 	22093.69 	: 
A,MIO_EUR,TOTAL,FRG03	8005.66 	8193.94 	9348.93 	8683.96 	: 
A,MIO_EUR,TOTAL,FRG04	13345.89 	13632.07 	13118.43 	13807.56 	: 
A,MIO_EUR,TOTAL,FRG05	17356.07 	17901.11 	17770.99 	18840.55 	: 
A,MIO_EUR,TOTAL,FRH	87566.98 	90660.98 	88876.52 	94020.41 	102971.49 
A,MIO_EUR,TOTAL,FRH0	87566.98 	90660.98 	88876.52 	94020.41 	102971.49 
A,MIO_EUR,TOTAL,FRH01	13845.37 	14417.08 	14300.85 	14758.46 	: 
A,MIO_EUR,TOTAL,FRH02	22538.36 	23441.86 	23061.51 	24111.35 	: 
A,MIO_EUR,TOTAL,FRH03	33409.91 	34446.03 	33353.86 	35325.27 	: 
A,MIO_EUR,TOTAL,FRH04	17773.34 	18356.01 	18160.3 	19825.33 	: 
A,MIO_EUR,TOTAL,FRI	156492.22 	161648.06 	156664.56 	167378.64 	178414.84 
A,MIO_EUR,TOTAL,FRI1	94305.16 	97270.97 	93949.32 	101029.98 	107887.66 
A,MIO_EUR,TOTAL,FRI11	8514.55 	8629.07 	8413.4 	8981.55 	: 
A,MIO_EUR,TOTAL,FRI12	50379.94 	51766.17 	50100.45 	54253.76 	: 
A,MIO_EUR,TOTAL,FRI13	9369.38 	9693.05 	9356.15 	10054.7 	: 
A,MIO_EUR,TOTAL,FRI14	7542.33 	7767.39 	7529.9 	7980.24 	: 
A,MIO_EUR,TOTAL,FRI15	18498.96 	19415.29 	18549.41 	19759.73 	: 
A,MIO_EUR,TOTAL,FRI2	16706.7 	17468.24 	17055.59 	17938.59 	18536.75 
A,MIO_EUR,TOTAL,FRI21	5548.98 	5655.2 	5472.98 	5772.85 	: 
A,MIO_EUR,TOTAL,FRI22	2114.23 	2158.71 	2115.9 	2189.8 	: 
A,MIO_EUR,TOTAL,FRI23	9043.49 	9654.33 	9466.72 	9975.94 	: 
A,MIO_EUR,TOTAL,FRI3	45480.36 	46908.86 	45659.65 	48410.08 	51990.43 
A,MIO_EUR,TOTAL,FRI31	9389.08 	9807.51 	9506.47 	10102.76 	: 
A,MIO_EUR,TOTAL,FRI32	14983.85 	15393.15 	15169.28 	16182.46 	: 
A,MIO_EUR,TOTAL,FRI33	9909.77 	10195.96 	10131.73 	10748.64 	: 
A,MIO_EUR,TOTAL,FRI34	11197.65 	11512.24 	10852.16 	11376.22 	: 
A,MIO_EUR,TOTAL,FRJ	153282.78 	158472.29 	151382.23 	162241.39 	172594.07 
A,MIO_EUR,TOTAL,FRJ1	65767.17 	68124.03 	66836.56 	72171.53 	76806.6 
A,MIO_EUR,TOTAL,FRJ11	7392.2 	7628.72 	7397.44 	7885.22 	: 
A,MIO_EUR,TOTAL,FRJ12	15992.32 	16705.47 	16452.13 	17625.42 	: 
A,MIO_EUR,TOTAL,FRJ13	30667.88 	31716.06 	31123.22 	33986.18 	: 
A,MIO_EUR,TOTAL,FRJ14	1679.85 	1704.07 	1710.89 	1827.19 	: 
A,MIO_EUR,TOTAL,FRJ15	10034.92 	10369.71 	10152.88 	10847.52 	: 
A,MIO_EUR,TOTAL,FRJ2	87515.61 	90348.27 	84545.67 	90069.86 	95787.48 
A,MIO_EUR,TOTAL,FRJ21	2960.78 	3060.5 	2920.8 	3067.17 	: 
A,MIO_EUR,TOTAL,FRJ22	6415.48 	6564.92 	6426.34 	6761.96 	: 
A,MIO_EUR,TOTAL,FRJ23	51852.45 	53796.53 	48921.11 	52265.48 	: 
A,MIO_EUR,TOTAL,FRJ24	3874.7 	3922.04 	3842.83 	4102.11 	: 
A,MIO_EUR,TOTAL,FRJ25	3929.87 	3997.13 	3844.65 	4060.43 	: 
A,MIO_EUR,TOTAL,FRJ26	5151.67 	5275.13 	4910.46 	5212.68 	: 
A,MIO_EUR,TOTAL,FRJ27	8071.47 	8329.2 	8278.08 	8760.58 	: 
A,MIO_EUR,TOTAL,FRJ28	5259.2 	5402.82 	5401.4 	5839.44 	: 
A,MIO_EUR,TOTAL,FRK	243584.69 	250873.48 	242091.97 	255809.46 	272376.57 
A,MIO_EUR,TOTAL,FRK1	34525.37 	35497.18 	34386.96 	36405.7 	38460.44 
A,MIO_EUR,TOTAL,FRK11	7352.92 	7500.86 	7423.16 	7902.86 	: 
A,MIO_EUR,TOTAL,FRK12	3103.06 	3149.7 	3123.58 	3281.39 	: 
A,MIO_EUR,TOTAL,FRK13	4630.56 	4760.41 	4735.46 	4954.28 	: 
A,MIO_EUR,TOTAL,FRK14	19438.83 	20086.21 	19104.75 	20267.18 	: 
A,MIO_EUR,TOTAL,FRK2	209059.32 	215376.3 	207705.01 	219403.76 	233916.13 
A,MIO_EUR,TOTAL,FRK21	14909.18 	15364.5 	14964.49 	15643.35 	: 
A,MIO_EUR,TOTAL,FRK22	6423.96 	6643.05 	6538.39 	6821.65 	: 
A,MIO_EUR,TOTAL,FRK23	14494.35 	15076.21 	14626.13 	15434.8 	: 
A,MIO_EUR,TOTAL,FRK24	37314.25 	38470.93 	37548.8 	39686.63 	: 
A,MIO_EUR,TOTAL,FRK25	19110.02 	19591.62 	19234.43 	20057.77 	: 
A,MIO_EUR,TOTAL,FRK26	80189.55 	82760.47 	79332.33 	86150.5 	: 
A,MIO_EUR,TOTAL,FRK27	13981.83 	14360.57 	13526.18 	13055.12 	: 
A,MIO_EUR,TOTAL,FRK28	22636.19 	23108.94 	21934.27 	22553.94 	: 
A,MIO_EUR,TOTAL,FRL	147450.76 	151312.67 	144886.8 	169505.98 	184823.3 
A,MIO_EUR,TOTAL,FRL0	147450.76 	151312.67 	144886.8 	169505.98 	184823.3 
A,MIO_EUR,TOTAL,FRL01	3731.17 	3778.25 	3708.51 	3884.14 	: 
A,MIO_EUR,TOTAL,FRL02	3294.71 	3383.22 	3333.13 	3267.77 	: 
A,MIO_EUR,TOTAL,FRL03	34832.81 	35684.04 	32205.49 	35053.13 	: 
A,MIO_EUR,TOTAL,FRL04	65316.05 	67123.55 	65490.92 	84839.27 	: 
A,MIO_EUR,TOTAL,FRL05	24378.7 	24970.7 	24170.94 	26169 	: 
A,MIO_EUR,TOTAL,FRL06	15897.31 	16372.92 	15977.81 	16292.67 	: 
A,MIO_EUR,TOTAL,FRM	8346.08 	8560.79 	8061.76 	8976.96 	9211.06 
A,MIO_EUR,TOTAL,FRM0	8346.08 	8560.79 	8061.76 	8976.96 	9211.06 
A,MIO_EUR,TOTAL,FRM01	4407.25 	4530.31 	4261.4 	4807.88 	: 
A,MIO_EUR,TOTAL,FRM02	3938.83 	4030.48 	3800.37 	4169.07 	: 
A,MIO_EUR,TOTAL,FRY	41461.76 	42667.94 	41669.7 	43759.97 	46244.68 
A,MIO_EUR,TOTAL,FRY1	8907.86 	9139.86 	8729.62 	8960.95 	9527.99 
A,MIO_EUR,TOTAL,FRY10	8907.86 	9139.86 	8729.62 	8960.95 	: 
A,MIO_EUR,TOTAL,FRY2	8279.57 	8448.5 	8139.11 	8358.16 	8797.14 
A,MIO_EUR,TOTAL,FRY20	8279.57 	8448.5 	8139.11 	8358.16 	: 
A,MIO_EUR,TOTAL,FRY3	4140.16 	4193.06 	4139.42 	4264.99 	4327.98 
A,MIO_EUR,TOTAL,FRY30	4140.16 	4193.06 	4139.42 	4264.99 	: 
A,MIO_EUR,TOTAL,FRY4	17713.61 	18221.6 	17907.29 	19205.07 	20387.2 
A,MIO_EUR,TOTAL,FRY40	17713.61 	18221.6 	17907.29 	19205.07 	: 
A,MIO_EUR,TOTAL,FRY5	2420.56 	2664.93 	2754.26 	2970.8 	3204.37 
A,MIO_EUR,TOTAL,FRY50	2420.56 	2664.93 	2754.26 	2970.8 	: 
A,MIO_EUR,TOTAL,FRZ	960.64 	960.94 	958.92 	943.55 	1000.15 
A,MIO_EUR,TOTAL,FRZZ	960.64 	960.94 	958.92 	943.55 	1000.15 
A,MIO_EUR,TOTAL,FRZZZ	960.64 	960.94 	958.92 	943.55 	: 
A,MIO_EUR,TOTAL,HR0	43487.97 	45826.41 	42174.08 	48337.26 	57034.24 p
A,MIO_EUR,TOTAL,HR02	7738.3 	8134.34 	7786.67 	8879.14 	10296.17 p
A,MIO_EUR,TOTAL,HR021	786.51 	803.83 	784.28 	919.86 	1052.83 p
A,MIO_EUR,TOTAL,HR022	455.01 	479.08 	454.16 	533.79 	612.46 p
A,MIO_EUR,TOTAL,HR023	425.56 	451.03 	420 	459.75 	532.97 p
A,MIO_EUR,TOTAL,HR024	861.75 	932.63 	886.55 	989.56 	1150.55 p
A,MIO_EUR,TOTAL,HR025	2190.42 	2306.49 	2252.26 	2565.07 	2982.24 p
A,MIO_EUR,TOTAL,HR026	1010.69 	1079.27 	1048.66 	1162.99 	1342.36 p
A,MIO_EUR,TOTAL,HR027	888.33 	909.17 	888.76 	1024.58 	1205.65 p
A,MIO_EUR,TOTAL,HR028	1120.03 	1172.84 	1051.99 	1223.53 	1417.1 p
A,MIO_EUR,TOTAL,HR03	14040.43 	14646.61 	12658.3 	15027.94 	18123.18 p
A,MIO_EUR,TOTAL,HR031	3603.78 	3532.05 	3132.85 	3691.72 	4449.82 p
A,MIO_EUR,TOTAL,HR032	375.62 	395.9 	381.85 	453.76 	534.14 p
A,MIO_EUR,TOTAL,HR033	1532.25 	1599.83 	1484.13 	1696.52 	2010.6 p
A,MIO_EUR,TOTAL,HR034	880.42 	930.45 	854.77 	976.63 	1165.31 p
A,MIO_EUR,TOTAL,HR035	3641.83 	3969.41 	3477.68 	4086.54 	4871.11 p
A,MIO_EUR,TOTAL,HR036	2658.32 	2751.59 	2229.32 	2734.8 	3381.11 p
A,MIO_EUR,TOTAL,HR037	1348.21 	1467.39 	1097.68 	1387.96 	1711.09 p
A,MIO_EUR,TOTAL,HR05	14923.08 	15818.99 	14757.89 	16572.53 	19396.87 p
A,MIO_EUR,TOTAL,HR050	14923.08 	15818.99 	14757.89 	16572.53 	19396.87 p
A,MIO_EUR,TOTAL,HR06	6786.17 	7226.47 	6971.23 	7857.64 	9218.03 p
A,MIO_EUR,TOTAL,HR061	961.58 	1032.58 	1001.37 	1142.27 	1333.28 p
A,MIO_EUR,TOTAL,HR062	1579.08 	1658.52 	1606.33 	1751.16 	2049.63 p
A,MIO_EUR,TOTAL,HR063	826.29 	886.67 	843.72 	941.11 	1089.7 p
A,MIO_EUR,TOTAL,HR064	860.68 	918.84 	849.02 	955.21 	1120.2 p
A,MIO_EUR,TOTAL,HR065	2558.54 	2729.87 	2670.78 	3067.9 	3625.21 p
A,MIO_EUR,TOTAL,HU	114905.35 	123784.35 	116368.35 	130312.95 	143592.82 
A,MIO_EUR,TOTAL,HU1	53465.62 	59185.6 	55472.46 	62370.53 	69587.5 
A,MIO_EUR,TOTAL,HU11	41686.9 	46273.47 	43050.73 	47959.34 	52655.9 
A,MIO_EUR,TOTAL,HU110	41686.9 	46273.47 	43050.73 	47959.34 	52655.9 
A,MIO_EUR,TOTAL,HU12	11778.73 	12912.13 	12421.72 	14411.18 	16931.59 
A,MIO_EUR,TOTAL,HU120	11778.73 	12912.13 	12421.72 	14411.18 	16931.59 
A,MIO_EUR,TOTAL,HU2	30607.17 	32107.69 	29700.77 	33250.5 	36537.65 
A,MIO_EUR,TOTAL,HU21	11553.38 	12377.71 	11413.1 	13266.88 	14520.53 
A,MIO_EUR,TOTAL,HU211	5036.02 	5240.05 	4915.54 	5934 	6382.49 
A,MIO_EUR,TOTAL,HU212	3521.34 	3834.72 	3429.38 	3788.03 	4136.68 
A,MIO_EUR,TOTAL,HU213	2996.03 	3302.94 	3068.17 	3544.86 	4001.37 
A,MIO_EUR,TOTAL,HU22	11863.26 	12183.78 	11208.85 	12044.04 	13243.9 
A,MIO_EUR,TOTAL,HU221	6736.89 	6806.41 	6420.69 	6782.01 	7315.02 
A,MIO_EUR,TOTAL,HU222	2737.78 	2861.21 	2537.5 	2739.12 	3090.77 
A,MIO_EUR,TOTAL,HU223	2388.59 	2516.16 	2250.66 	2522.9 	2838.1 
A,MIO_EUR,TOTAL,HU23	7190.53 	7546.2 	7078.82 	7939.58 	8773.21 
A,MIO_EUR,TOTAL,HU231	2878.45 	3071.06 	2844.48 	3329.95 	3682.67 
A,MIO_EUR,TOTAL,HU232	2333.85 	2396.57 	2294.37 	2471.17 	2771.87 
A,MIO_EUR,TOTAL,HU233	1978.23 	2078.57 	1939.97 	2138.46 	2318.67 
A,MIO_EUR,TOTAL,HU3	30832.55 	32491.06 	31195.13 	34691.92 	37467.67 
A,MIO_EUR,TOTAL,HU31	9149.47 	9440.76 	9012.33 	10250.86 	10614.48 
A,MIO_EUR,TOTAL,HU311	5579.7 	5597.01 	5407.54 	6294.26 	6287.92 
A,MIO_EUR,TOTAL,HU312	2574.62 	2796.42 	2595.26 	2796.19 	3081.84 
A,MIO_EUR,TOTAL,HU313	995.14 	1047.33 	1009.53 	1160.42 	1244.72 
A,MIO_EUR,TOTAL,HU32	11009.17 	11757.16 	11344.28 	12531.21 	13787.52 
A,MIO_EUR,TOTAL,HU321	4493.32 	4758.63 	4560.77 	5024.54 	5721.31 
A,MIO_EUR,TOTAL,HU322	2792.52 	2958.35 	2987.95 	3280.9 	3432.89 
A,MIO_EUR,TOTAL,HU323	3723.32 	4040.17 	3795.56 	4225.77 	4633.32 
A,MIO_EUR,TOTAL,HU33	10673.92 	11293.15 	10838.51 	11909.85 	13065.68 
A,MIO_EUR,TOTAL,HU331	4832.03 	5143.48 	4841.66 	5186.16 	5574.71 
A,MIO_EUR,TOTAL,HU332	2387.09 	2424.6 	2364.47 	2584.09 	2835.26 
A,MIO_EUR,TOTAL,HU333	3454.8 	3725.08 	3632.38 	4139.59 	4655.71 
A,MIO_EUR,TOTAL,HUZ	0 	0 	0 	0 	0 
A,MIO_EUR,TOTAL,HUZZ	0 	0 	0 	0 	0 
A,MIO_EUR,TOTAL,HUZZZ	0 	0 	0 	0 	0 
A,MIO_EUR,TOTAL,IE0	306661.78 	334041.33 	356186.12 	408411.23 	481997.79 
A,MIO_EUR,TOTAL,IE04	21807.45 	25083.78 	28082.29 	30721.45 	37994.24 e
A,MIO_EUR,TOTAL,IE041	8338.61 	9289.15 	9029.32 	9989.76 	: 
A,MIO_EUR,TOTAL,IE042	13468.84 	15794.63 	19052.96 	20731.68 	: 
A,MIO_EUR,TOTAL,IE05	109931.52 	119526.93 	127149.76 	153353.32 	193840.06 e
A,MIO_EUR,TOTAL,IE051	18651.9 	22555.94 	26891.33 	28692.35 	: 
A,MIO_EUR,TOTAL,IE052	13319.75 	17192.83 	16045.39 	15818.08 	: 
A,MIO_EUR,TOTAL,IE053	77959.88 	79778.16 	84213.03 	108842.89 	: 
A,MIO_EUR,TOTAL,IE06	174922.81 	189430.62 	200954.07 	224336.46 	250163.49 e
A,MIO_EUR,TOTAL,IE061	143117.76 	155856.26 	167382.54 	187286.78 	: 
A,MIO_EUR,TOTAL,IE062	: 	26683.38 	26412.99 	29462.32 	: 
A,MIO_EUR,TOTAL,IE063	6246.26 	6890.97 	7158.54 	7587.36 	: 
A,MIO_EUR,TOTAL,ITC	524794.2 	529783.1 	496954.5 	545668.7 	580269.6 
A,MIO_EUR,TOTAL,ITC1	123120 	123565.4 	114584 	124838.7 	131238 
A,MIO_EUR,TOTAL,ITC11	67892.4 	67402.9 	62004.4 	68151.1 	: 
A,MIO_EUR,TOTAL,ITC12	4307.9 	4304.5 	4231.3 	4528.8 	: 
A,MIO_EUR,TOTAL,ITC13	4407.5 	4331.8 	3952.9 	4293.8 	: 
A,MIO_EUR,TOTAL,ITC14	3485.6 	3563 	3183.7 	3491.7 	: 
A,MIO_EUR,TOTAL,ITC15	9969.2 	10249.2 	9618.2 	10505.4 	: 
A,MIO_EUR,TOTAL,ITC16	17188 	17630.8 	16887.8 	17845.4 	: 
A,MIO_EUR,TOTAL,ITC17	5017.9 	5057.6 	4705.7 	5036.8 	: 
A,MIO_EUR,TOTAL,ITC18	10851.5 	11025.5 	9999.9 	10985.9 	: 
A,MIO_EUR,TOTAL,ITC2	4328.8 	4359.7 	4033.7 	4292 	4860.5 
A,MIO_EUR,TOTAL,ITC20	4328.8 	4359.7 	4033.7 	4292 	: 
A,MIO_EUR,TOTAL,ITC3	44233.9 	44938.1 	40910.3 	44398.9 	48437.9 
A,MIO_EUR,TOTAL,ITC31	4602.1 	4664.8 	4355.2 	4699.5 	: 
A,MIO_EUR,TOTAL,ITC32	6980.6 	6869.7 	6553.5 	7149.6 	: 
