rowid,subject_category
580,Meteorology & Atmospheric Sciences
581,Cell Biology
581,Neurosciences & Neurology
582,Health Care Sciences & Services
582,Medical Informatics
583,Food Science & Technology
583,Nutrition & Dietetics
584,Biochemistry & Molecular Biology
584,Environmental Sciences & Ecology
584,Evolutionary Biology
585,Energy & Fuels
586,Chemistry
586,Pharmacology & Pharmacy
587,Gastroenterology & Hepatology
588,Agriculture
588,Behavioral Sciences
588,Veterinary Sciences
589,Transplantation
589,Urology & Nephrology
590,Astronomy & Astrophysics
590,Physics
591,Psychology
591,Behavioral Sciences
592,Environmental Sciences & Ecology
592,Social Sciences - Other Topics
592,Business & Economics
593,Anesthesiology
594,Oncology
594,Pathology
595,Cell Biology
595,Geriatrics & Gerontology
596,"Dentistry, Oral Surgery & Medicine"
597,Psychology
598,Neurosciences & Neurology
599,Zoology
600,Physics
601,Astronomy & Astrophysics
602,Ophthalmology
603,Rheumatology
604,Surgery
604,Transplantation
605,Metallurgy & Metallurgical Engineering
606,Astronomy & Astrophysics
607,Chemistry
607,Pharmacology & Pharmacy
608,Optics
608,Physics
609,Acoustics
609,"Radiology, Nuclear Medicine & Medical Imaging"
610,Biochemistry & Molecular Biology
610,Chemistry
611,Agriculture
611,Veterinary Sciences
612,Pharmacology & Pharmacy
612,Chemistry
613,Immunology
614,Chemistry
614,Materials Science
614,Metallurgy & Metallurgical Engineering
615,Biodiversity & Conservation
616,Psychology
617,Biochemistry & Molecular Biology
617,Chemistry
618,Food Science & Technology
618,Nutrition & Dietetics
619,Chemistry
620,Chemistry
620,Physics
621,Veterinary Sciences
622,Agriculture
623,Geochemistry & Geophysics
624,Optics
624,Spectroscopy
625,Pharmacology & Pharmacy
626,Computer Science
626,Engineering
627,Agriculture
628,Mineralogy
629,Neurosciences & Neurology
630,Environmental Sciences & Ecology
631,Anesthesiology
631,Neurosciences & Neurology
632,Cardiovascular System & Cardiology
632,Respiratory System
632,Surgery
633,Biochemistry & Molecular Biology
633,Endocrinology & Metabolism
634,Instruments & Instrumentation
635,Parasitology
635,Tropical Medicine
636,Automation & Control Systems
636,Chemistry
636,Computer Science
636,Instruments & Instrumentation
636,Mathematics
637,Forestry
638,Research & Experimental Medicine
639,Immunology
640,Chemistry
640,Pharmacology & Pharmacy
641,Computer Science
641,Engineering
641,Telecommunications
642,Psychology
642,Pediatrics
642,Psychiatry
643,Geology
644,Urology & Nephrology
645,Social Sciences - Other Topics
645,Engineering
645,History & Philosophy of Science
645,Science & Technology - Other Topics
645,Philosophy
